experiment,recall,f1,roc_auc,precision,specificity,recall_gap
baseline,0.7453484531542441,0.7261221644232316,0.761451381570361,0.7078628189042242,0.6517946161515453,0.16581196581196578
exp1_conservador,0.82439722558626,0.7533578147794154,0.7767192477395513,0.6935902185994813,0.5877367896311066,0.07350427350427347
exp2_moderado,0.8227457888362876,0.7530988612314824,0.7767462708758015,0.6943231441048034,0.5899800598205384,0.05954415954415959
exp3_agressivo,0.8280303864361995,0.7545522949586155,0.7782128814481362,0.6930519719867305,0.5848703888334995,0.07350427350427347
