antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support,leverage,conviction
CS_RACA=4 & ORIENT_SEX=1,OUT_VEZES=1,0.13718,0.49666908037653873,1.1479431432915888,0.2762,0.43266,0.017679308000000005,1.1271709682060136
AUTOR_SEXO=3,REDE_SAU=1,0.0528,0.6878582595101616,1.147463149351352,0.07676,0.59946,0.006785450400000004,1.283199098497496
OUT_VEZES=2,SIT_CONJUG=1,0.1727,0.45072554546403587,1.147117849597974,0.38316,0.39292,0.022148772799999994,1.1052398213437233
SIT_CONJUG=1,OUT_VEZES=2,0.1727,0.4395296752519597,1.147117849597974,0.39292,0.38316,0.022148772799999994,1.1005756643356646
REDE_SAU=1 & SIT_CONJUG=8,OUT_VEZES=2,0.05124,0.43937575030012005,1.1467161245957826,0.11662,0.38316,0.006555880799999997,1.1002734903640259
CS_ESCOL_N=09 & OUT_VEZES=1,AUTOR_SEXO=1,0.05598,0.7924688561721405,1.1458154133370064,0.07064,0.69162,0.007123963200000007,1.4859456480218283
CS_ESCOL_N=06,OUT_VEZES=1,0.09044,0.4957246217934664,1.1457602315755244,0.18244,0.43266,0.011505509600000019,1.1250598869565216
CS_RACA=4 & REDE_SAU=2,OUT_VEZES=1,0.08588,0.49561403508771934,1.1455046343265367,0.17328,0.43266,0.01090867520000001,1.1248132173913046
CS_RACA=2,OUT_VEZES=1,0.04942,0.49558764540713995,1.1454436402883095,0.09972,0.43266,0.0062751448,1.124754369781312
REDE_SAU=1 & SG_UF=35,OUT_VEZES=2,0.07984,0.43872953071766124,1.1450295717654797,0.18198,0.38316,0.01011254319999999,1.0990066888584298
AUTOR_SEXO=2 & CS_RACA=4,AG_AMEACA=2,0.05958,0.828881469115192,1.1443265167120302,0.07188,0.72434,0.007514440800000001,1.6109301463414636
CS_ESCOL_N=08,AUTOR_SEXO=1,0.03358,0.791234684260132,1.1440309480063213,0.04244,0.69162,0.0042276472,1.477161083521445
CS_ESCOL_N=06 & CS_RACA=1,SIT_CONJUG=1,0.0339,0.4494828957836118,1.1439552473368926,0.07542,0.39292,0.0042659736,1.1027450289017342
CS_RACA=1 & OUT_VEZES=2,AG_AMEACA=2,0.12478,0.8285524568393093,1.1438722931762837,0.1506,0.72434,0.015694396,1.607838729666924
CS_RACA=2 & REDE_SAU=2,AUTOR_SEXO=1,0.03014,0.7910761154855642,1.143801676477783,0.0381,0.69162,0.0037892779999999966,1.476039949748743
REDE_SAU=1 & SIT_CONJUG=8,AG_AMEACA=2,0.0966,0.8283313325330133,1.143567016225824,0.11662,0.72434,0.012127469200000005,1.6057676923076931
AG_AMEACA=2 & SG_UF=33,REDE_SAU=2,0.03536,0.4140515222482436,1.1416442104561697,0.0854,0.36268,0.0043871280000000006,1.0876724220623502
AUTOR_SEXO=2 & CS_RACA=1,AG_AMEACA=2,0.05518,0.8265428400239665,1.1410978822430993,0.06676,0.72434,0.006823061599999999,1.5892108462867018
CS_ESCOL_N=06 & OUT_VEZES=2,REDE_SAU=1,0.05236,0.6831941544885177,1.1396826385221996,0.07664,0.59946,0.006417385599999999,1.2643074794069191
CS_RACA=4 & OUT_VEZES=2,AG_AMEACA=2,0.14866,0.8253386631134798,1.1394354351733713,0.18012,0.72434,0.018191879199999983,1.578254265734265
AG_AMEACA=1 & SG_UF=35,REDE_SAU=1,0.03504,0.6830409356725147,1.1394270437936054,0.0513,0.59946,0.004287702000000004,1.2636963099630998
ORIENT_SEX=1 & REDE_SAU=1,OUT_VEZES=2,0.1565,0.43629774184555337,1.1386829049106206,0.3587,0.38316,0.019060508000000004,1.0942656181998023
OUT_VEZES=2,AG_AMEACA=2,0.3158,0.8241987681386367,1.1378617336314945,0.38316,0.72434,0.038261885600000045,1.5680208669833737
AG_AMEACA=2,OUT_VEZES=2,0.3158,0.4359831018582434,1.1378617336314945,0.72434,0.38316,0.038261885600000045,1.093655175992559
ORIENT_SEX=8 & REDE_SAU=1,AG_AMEACA=2,0.10718,0.8240811932954021,1.1376994136667893,0.13006,0.72434,0.012972339599999994,1.5669728846153843
AUTOR_SEXO=2,AG_AMEACA=2,0.13254,0.8239462886982468,1.137513168813329,0.16086,0.72434,0.0160226676,1.5657721610169484
REDE_SAU=2 & SG_UF=35,ORIENT_SEX=1,0.0424,0.6751592356687899,1.1373593134813347,0.0628,0.59362,0.005120664000000004,1.2510129411764708
AG_AMEACA=2 & CS_ESCOL_N=10,CS_RACA=1,0.0428,0.42851421706047255,1.1364616163487842,0.09988,0.37706,0.005139247199999995,1.0900358654519973
CS_RACA=1 & OUT_VEZES=2,REDE_SAU=1,0.10254,0.6808764940239044,1.1358163914588202,0.1506,0.59946,0.012261324000000004,1.255125343320849
CS_ESCOL_N=10 & CS_RACA=1,REDE_SAU=1,0.0332,0.6806068060680607,1.1353665066360736,0.04878,0.59946,0.003958341200000003,1.2540655455712453
CS_ESCOL_N=03,ORIENT_SEX=1,0.09108,0.6739677371614621,1.1353521396877835,0.13514,0.59362,0.010858193199999977,1.246441062187925
REDE_SAU=1 & SG_UF=35,ORIENT_SEX=1,0.12258,0.6735905044510385,1.1347166612496857,0.18198,0.59362,0.014553032399999985,1.2450005454545452
CS_RACA=2 & SIT_CONJUG=1,AUTOR_SEXO=1,0.0358,0.7847435335379219,1.1346455185476445,0.04562,0.69162,0.0042482956,1.4326166598778
REDE_SAU=1 & SIT_CONJUG=8,CS_RACA=1,0.04988,0.4277139427199451,1.1343392105233785,0.11662,0.37706,0.0059072628,1.088511579262811
CS_ESCOL_N=06 & CS_RACA=1,AUTOR_SEXO=1,0.05916,0.7844073190135242,1.1341593924604902,0.07542,0.69162,0.006998019599999995,1.430382509225092
REDE_SAU=2 & SIT_CONJUG=1,AUTOR_SEXO=1,0.11168,0.7843798286276162,1.134119644642457,0.14238,0.69162,0.013207144399999995,1.4302001433224756
AG_AMEACA=2 & CS_RACA=4,OUT_VEZES=2,0.14866,0.4345258973459605,1.1340586108830788,0.34212,0.38316,0.017573300799999997,1.0908368696371344
AUTOR_SEXO=1 & SG_UF=35,OUT_VEZES=1,0.08878,0.4906598872554438,1.1340541932590114,0.18094,0.43266,0.010494499599999998,1.1138726085069441
